time,lat,lon,elevation,accuracy,bearing,speed
2015-08-27T11:12:00Z,51.666882,14.243102,131.399994,11.000000,26.700001,28.750000
2015-08-27T11:12:01Z,51.667115,14.243300,132.300003,12.000000,27.200001,28.750000
2015-08-27T11:12:02Z,51.667318,14.243504,132.100006,12.000000,28.200001,28.500000
2015-08-27T11:12:03Z,51.667540,14.243704,132.100006,12.000000,28.600000,28.500000
2015-08-27T11:12:04Z,51.667740,14.243909,132.300003,12.000000,29.299999,28.250000
2015-08-27T11:12:05Z,51.667998,14.244162,132.500000,12.000000,30.100000,29.000000
2015-08-27T11:12:06Z,51.668227,14.244377,132.600006,12.000000,30.299999,29.000000
2015-08-27T11:12:07Z,51.668436,14.244621,133.000000,12.000000,31.100000,29.000000
2015-08-27T11:12:08Z,51.668684,14.244817,132.699997,12.000000,30.299999,29.250000
2015-08-27T11:12:09Z,51.668938,14.245040,132.399994,12.000000,30.100000,29.750000
2015-08-27T11:12:10Z,51.669164,14.245241,132.899994,11.000000,29.799999,29.500000
2015-08-27T11:12:11Z,51.669378,14.245458,133.100006,12.000000,30.100000,29.250000
2015-08-27T11:12:12Z,51.669603,14.245668,133.100006,12.000000,30.200001,29.250000
2015-08-27T11:12:13Z,51.669797,14.245882,132.399994,11.000000,30.700001,29.250000
2015-08-27T11:12:14Z,51.670046,14.246098,132.199997,11.000000,30.600000,29.000000
2015-08-27T11:12:15Z,51.670259,14.246318,132.800003,10.000000,30.200001,29.250000
2015-08-27T11:12:16Z,51.670500,14.246526,132.600006,10.000000,29.900000,29.250000
2015-08-27T11:12:17Z,51.670718,14.246729,132.800003,10.000000,29.700001,29.250000
2015-08-27T11:12:18Z,51.670937,14.246936,132.000000,11.000000,29.700001,29.000000
2015-08-27T11:12:19Z,51.671160,14.247149,131.600006,11.000000,29.799999,29.000000
2015-08-27T11:12:20Z,51.671377,14.247357,131.199997,12.000000,29.900000,29.000000
2015-08-27T11:12:21Z,51.671568,14.247574,130.699997,10.000000,31.000000,28.500000
2015-08-27T11:12:22Z,51.671790,14.247778,130.699997,11.000000,30.900000,28.250000
2015-08-27T11:12:23Z,51.672006,14.248005,130.300003,10.000000,30.700001,28.500000
2015-08-27T11:12:24Z,51.672223,14.248206,130.100006,10.000000,30.700001,28.250000
2015-08-27T11:12:25Z,51.672444,14.248426,130.199997,10.000000,31.000000,28.500000
2015-08-27T11:12:26Z,51.672673,14.248629,130.399994,11.000000,31.200001,28.500000
2015-08-27T11:12:27Z,51.672890,14.248840,130.899994,11.000000,31.500000,28.500000
2015-08-27T11:12:28Z,51.673095,14.249060,130.300003,11.000000,31.900000,28.250000
2015-08-27T11:12:29Z,51.673302,14.249253,129.800003,11.000000,31.400000,27.750000
2015-08-27T11:12:30Z,51.673518,14.249462,130.199997,11.000000,31.200001,27.750000
2015-08-27T11:12:31Z,51.673734,14.249672,129.699997,11.000000,30.799999,27.750000
2015-08-27T11:12:32Z,51.673930,14.249865,128.699997,11.000000,31.100000,27.500000
2015-08-27T11:12:33Z,51.674124,14.250059,128.800003,11.000000,31.000000,27.250000
2015-08-27T11:12:34Z,51.674336,14.250268,128.899994,11.000000,30.900000,27.250000
2015-08-27T11:12:35Z,51.674531,14.250469,127.800003,11.000000,31.000000,27.000000
2015-08-27T11:12:36Z,51.674744,14.250679,128.800003,11.000000,30.799999,27.250000
2015-08-27T11:12:37Z,51.674961,14.250890,128.600006,11.000000,30.799999,27.250000
2015-08-27T11:12:38Z,51.675182,14.251101,128.800003,11.000000,31.000000,27.500000
2015-08-27T11:12:39Z,51.675374,14.251297,127.500000,11.000000,31.100000,27.250000
2015-08-27T11:12:40Z,51.675584,14.251497,128.300003,11.000000,31.100000,27.250000
2015-08-27T11:12:41Z,51.675797,14.251698,128.399994,11.000000,31.000000,27.500000
2015-08-27T11:12:42Z,51.675986,14.251905,127.900002,11.000000,31.400000,27.250000
2015-08-27T11:12:43Z,51.676226,14.252115,128.199997,10.000000,31.000000,28.000000
2015-08-27T11:12:44Z,51.676443,14.252323,128.600006,11.000000,31.000000,28.000000
2015-08-27T11:12:45Z,51.676639,14.252528,128.500000,11.000000,31.100000,28.000000
2015-08-27T11:12:46Z,51.676856,14.252730,128.399994,11.000000,30.799999,27.750000
2015-08-27T11:12:47Z,51.677070,14.252938,128.199997,11.000000,30.900000,27.750000
2015-08-27T11:12:48Z,51.677301,14.253146,128.699997,11.000000,30.600000,28.000000
2015-08-27T11:12:49Z,51.677518,14.253345,128.500000,11.000000,30.600000,28.000000
2015-08-27T11:12:50Z,51.677730,14.253543,128.500000,12.000000,30.500000,27.750000
2015-08-27T11:12:51Z,51.677923,14.253742,128.000000,12.000000,30.600000,27.500000
2015-08-27T11:12:52Z,51.678158,14.253957,128.000000,12.000000,30.500000,28.000000
2015-08-27T11:12:53Z,51.678357,14.254168,127.500000,12.000000,30.900000,27.750000
2015-08-27T11:12:54Z,51.678570,14.254376,127.000000,12.000000,30.700001,27.750000
2015-08-27T11:12:55Z,51.678768,14.254569,126.699997,12.000000,30.900000,27.500000
2015-08-27T11:12:56Z,51.678992,14.254781,125.599998,12.000000,30.900000,27.750000
2015-08-27T11:12:57Z,51.679226,14.254999,125.099998,12.000000,30.700001,28.000000
2015-08-27T11:12:58Z,51.679447,14.255211,125.400002,12.000000,30.900000,28.000000
2015-08-27T11:12:59Z,51.679635,14.255402,125.400002,10.000000,30.500000,27.000000
