time,lat,lon,elevation,accuracy,bearing,speed
2015-08-27T11:22:26Z,51.634737,14.189421,134.500000,10.000000,86.199997,14.000000
2015-08-27T11:22:27Z,51.634741,14.189613,134.600006,10.000000,86.400002,13.500000
2015-08-27T11:22:28Z,51.634752,14.189799,133.699997,10.000000,85.699997,13.250000
2015-08-27T11:22:29Z,51.634781,14.189979,133.199997,10.000000,81.400002,13.000000
2015-08-27T11:22:30Z,51.634800,14.190174,133.100006,10.000000,80.800003,13.000000
2015-08-27T11:22:31Z,51.634820,14.190361,132.699997,11.000000,80.699997,13.000000
2015-08-27T11:22:32Z,51.634865,14.190542,132.699997,10.000000,75.400002,13.250000
2015-08-27T11:22:33Z,51.634891,14.190731,133.600006,10.000000,73.699997,13.500000
2015-08-27T11:22:34Z,51.634927,14.190929,133.500000,11.000000,73.500000,13.500000
2015-08-27T11:22:35Z,51.634989,14.191086,133.399994,10.000000,66.800003,13.000000
2015-08-27T11:22:36Z,51.635043,14.191266,133.199997,10.000000,64.400002,13.500000
2015-08-27T11:22:37Z,51.635104,14.191445,133.300003,11.000000,62.799999,13.500000
2015-08-27T11:22:38Z,51.635152,14.191614,133.399994,10.000000,61.299999,13.250000
2015-08-27T11:22:39Z,51.635223,14.191782,132.899994,10.000000,58.400002,13.750000
2015-08-27T11:22:40Z,51.635286,14.191967,133.699997,10.000000,58.900002,13.750000
2015-08-27T11:22:41Z,51.635353,14.192142,134.100006,10.000000,59.000000,14.000000
2015-08-27T11:22:42Z,51.635421,14.192313,134.100006,10.000000,58.799999,14.000000
2015-08-27T11:22:43Z,51.635497,14.192486,134.000000,11.000000,58.599998,14.250000
2015-08-27T11:22:44Z,51.635567,14.192670,134.000000,11.000000,58.599998,14.250000
2015-08-27T11:22:45Z,51.635632,14.192845,134.000000,11.000000,58.799999,14.250000
2015-08-27T11:22:46Z,51.635696,14.193021,134.000000,11.000000,58.900002,14.250000
2015-08-27T11:22:47Z,51.635761,14.193202,134.100006,11.000000,59.000000,14.250000
2015-08-27T11:22:48Z,51.635802,14.193404,134.500000,11.000000,61.000000,14.250000
2015-08-27T11:22:49Z,51.635906,14.193560,134.399994,10.000000,54.799999,14.750000
2015-08-27T11:22:50Z,51.635975,14.193753,135.000000,10.000000,54.799999,14.750000
2015-08-27T11:22:51Z,51.636065,14.193918,134.899994,10.000000,54.599998,14.750000
2015-08-27T11:22:52Z,51.636153,14.194081,134.000000,10.000000,50.700001,14.750000
2015-08-27T11:22:53Z,51.636241,14.194249,134.000000,10.000000,50.099998,14.750000
2015-08-27T11:22:54Z,51.636337,14.194400,134.000000,11.000000,48.500000,14.750000
2015-08-27T11:22:55Z,51.636438,14.194541,133.600006,11.000000,46.799999,15.000000
2015-08-27T11:22:56Z,51.636562,14.194729,133.800003,10.000000,45.400002,16.500000
2015-08-27T11:22:57Z,51.636665,14.194889,133.600006,10.000000,44.599998,16.500000
2015-08-27T11:22:58Z,51.636774,14.195065,133.500000,11.000000,44.799999,16.750000
2015-08-27T11:22:59Z,51.636964,14.195222,132.699997,10.000000,36.500000,18.750000
2015-08-27T11:23:00Z,51.637100,14.195403,132.000000,10.000000,37.500000,19.000000
2015-08-27T11:23:01Z,51.637224,14.195581,131.600006,10.000000,37.700001,19.250000
2015-08-27T11:23:02Z,51.637363,14.195752,132.000000,11.000000,37.799999,19.500000
2015-08-27T11:23:03Z,51.637519,14.195931,131.899994,11.000000,37.700001,20.000000
2015-08-27T11:23:04Z,51.637666,14.196112,131.699997,10.000000,37.900002,20.250000
2015-08-27T11:23:05Z,51.637800,14.196274,131.199997,10.000000,37.099998,19.750000
2015-08-27T11:23:06Z,51.637937,14.196451,132.000000,10.000000,37.500000,20.000000
2015-08-27T11:23:07Z,51.638087,14.196649,131.699997,10.000000,38.200001,20.500000
2015-08-27T11:23:08Z,51.638238,14.196832,131.800003,11.000000,38.000000,20.500000
2015-08-27T11:23:09Z,51.638398,14.197023,131.600006,10.000000,37.700001,21.000000
2015-08-27T11:23:10Z,51.638560,14.197219,131.399994,10.000000,37.200001,21.250000
2015-08-27T11:23:11Z,51.638718,14.197405,131.600006,10.000000,36.500000,21.750000
2015-08-27T11:23:12Z,51.638875,14.197580,132.500000,10.000000,35.400002,21.500000
2015-08-27T11:23:13Z,51.639030,14.197782,132.399994,10.000000,37.799999,21.500000
2015-08-27T11:23:14Z,51.639185,14.197976,132.199997,10.000000,37.299999,21.750000
2015-08-27T11:23:15Z,51.639343,14.198170,132.199997,10.000000,37.400002,22.000000
2015-08-27T11:23:16Z,51.639502,14.198370,132.399994,11.000000,37.500000,22.000000
2015-08-27T11:23:17Z,51.639675,14.198571,132.399994,11.000000,37.200001,22.250000
2015-08-27T11:23:18Z,51.639834,14.198757,132.000000,12.000000,37.000000,22.250000
2015-08-27T11:23:19Z,51.639997,14.198945,132.100006,12.000000,37.500000,22.500000
2015-08-27T11:23:20Z,51.640137,14.199162,131.600006,10.000000,38.299999,22.250000
2015-08-27T11:23:21Z,51.640339,14.199386,131.000000,10.000000,37.400002,23.250000
2015-08-27T11:23:22Z,51.640488,14.199572,130.899994,10.000000,37.500000,22.500000
2015-08-27T11:23:23Z,51.640637,14.199761,130.399994,10.000000,38.200001,22.250000
2015-08-27T11:23:24Z,51.640794,14.199952,130.100006,10.000000,37.599998,22.250000
2015-08-27T11:23:25Z,51.640952,14.200151,130.800003,10.000000,38.000000,22.000000
2015-08-27T11:23:26Z,51.641110,14.200350,130.600006,10.000000,38.500000,22.250000
2015-08-27T11:23:27Z,51.641271,14.200562,130.800003,10.000000,39.200001,22.750000
2015-08-27T11:23:28Z,51.641427,14.200771,130.899994,10.000000,40.599998,22.500000
2015-08-27T11:23:29Z,51.641589,14.200984,130.600006,11.000000,40.599998,22.750000
2015-08-27T11:23:30Z,51.641718,14.201205,130.800003,11.000000,44.200001,22.000000
2015-08-27T11:23:31Z,51.641860,14.201433,130.800003,11.000000,44.400002,22.000000
2015-08-27T11:23:32Z,51.642001,14.201654,130.800003,12.000000,44.299999,22.000000
2015-08-27T11:23:33Z,51.642142,14.201881,131.100006,12.000000,44.500000,22.000000
2015-08-27T11:23:34Z,51.642286,14.202110,131.000000,13.000000,44.599998,22.250000
2015-08-27T11:23:35Z,51.642440,14.202320,130.699997,14.000000,43.700001,22.250000
2015-08-27T11:23:36Z,51.642566,14.202497,130.600006,15.000000,43.400002,21.500000
2015-08-27T11:23:37Z,51.642717,14.202763,130.600006,15.000000,44.200001,22.000000
2015-08-27T11:23:38Z,51.642864,14.203035,130.699997,15.000000,45.099998,22.500000
2015-08-27T11:23:39Z,51.642985,14.203327,130.699997,14.000000,47.500000,22.750000
2015-08-27T11:23:40Z,51.643106,14.203684,130.699997,15.000000,49.500000,23.250000
2015-08-27T11:23:41Z,51.643248,14.203937,130.699997,15.000000,49.299999,23.250000
2015-08-27T11:23:42Z,51.643346,14.204200,130.699997,13.000000,52.200001,22.750000
2015-08-27T11:23:43Z,51.643480,14.204455,130.699997,14.000000,52.099998,22.750000
2015-08-27T11:23:44Z,51.643615,14.204686,130.699997,14.000000,51.500000,22.500000
2015-08-27T11:23:45Z,51.643713,14.204911,130.899994,14.000000,51.099998,22.250000
2015-08-27T11:23:46Z,51.643881,14.205133,130.800003,14.000000,50.000000,22.250000
2015-08-27T11:23:47Z,51.644008,14.205344,131.000000,14.000000,49.599998,22.000000
2015-08-27T11:23:48Z,51.644139,14.205629,131.000000,14.000000,50.099998,22.250000
2015-08-27T11:23:49Z,51.644197,14.205892,131.100006,12.000000,54.700001,22.000000
2015-08-27T11:23:50Z,51.644328,14.206166,131.100006,12.000000,54.200001,22.500000
2015-08-27T11:23:51Z,51.644465,14.206443,131.000000,12.000000,53.599998,22.000000
2015-08-27T11:23:52Z,51.644589,14.206698,131.000000,12.000000,53.500000,22.000000
2015-08-27T11:23:53Z,51.644714,14.206923,131.100006,12.000000,50.000000,21.750000
2015-08-27T11:23:54Z,51.644865,14.207174,131.100006,12.000000,50.400002,22.500000
2015-08-27T11:23:55Z,51.644993,14.207438,131.100006,12.000000,50.599998,22.500000
2015-08-27T11:23:56Z,51.645109,14.207668,131.199997,12.000000,50.400002,22.250000
2015-08-27T11:23:57Z,51.645258,14.207918,131.199997,11.000000,49.700001,22.250000
2015-08-27T11:23:58Z,51.645386,14.208167,131.199997,12.000000,49.700001,22.000000
2015-08-27T11:23:59Z,51.645520,14.208418,131.300003,11.000000,50.900002,22.000000
2015-08-27T11:24:00Z,51.645635,14.208660,131.399994,11.000000,50.799999,22.000000
2015-08-27T11:24:01Z,51.645761,14.208901,131.399994,12.000000,50.700001,22.000000
2015-08-27T11:24:02Z,51.645883,14.209116,131.500000,12.000000,49.500000,21.250000
2015-08-27T11:24:03Z,51.646003,14.209340,131.500000,12.000000,49.200001,21.000000
2015-08-27T11:24:04Z,51.646156,14.209566,131.500000,10.000000,47.299999,21.500000
2015-08-27T11:24:05Z,51.646294,14.209786,131.500000,11.000000,47.200001,21.250000
2015-08-27T11:24:06Z,51.646414,14.210029,132.699997,11.000000,47.900002,21.250000
2015-08-27T11:24:07Z,51.646530,14.210262,133.000000,11.000000,48.000000,21.250000
2015-08-27T11:24:08Z,51.646660,14.210474,132.600006,12.000000,47.599998,21.000000
2015-08-27T11:24:09Z,51.646756,14.210669,132.699997,11.000000,48.799999,20.000000
2015-08-27T11:24:10Z,51.646881,14.210875,132.899994,11.000000,48.700001,19.750000
2015-08-27T11:24:11Z,51.646983,14.211088,132.300003,11.000000,47.900002,19.750000
2015-08-27T11:24:12Z,51.647110,14.211302,132.199997,11.000000,47.900002,19.750000
2015-08-27T11:24:13Z,51.647191,14.211530,129.699997,12.000000,48.500000,19.750000
2015-08-27T11:24:14Z,51.647271,14.211691,129.100006,11.000000,47.000000,18.500000
2015-08-27T11:24:15Z,51.647386,14.211882,128.300003,11.000000,46.299999,18.250000
2015-08-27T11:24:16Z,51.647507,14.212090,128.500000,11.000000,46.400002,18.500000
2015-08-27T11:24:17Z,51.647588,14.212301,126.800003,12.000000,47.400002,18.250000
2015-08-27T11:24:18Z,51.647673,14.212487,125.699997,11.000000,46.700001,17.750000
2015-08-27T11:24:19Z,51.647777,14.212640,126.000000,10.000000,45.099998,16.750000
2015-08-27T11:24:20Z,51.647888,14.212815,126.900002,10.000000,44.599998,16.500000
2015-08-27T11:24:21Z,51.647982,14.212995,128.199997,10.000000,44.400002,16.500000
2015-08-27T11:24:22Z,51.648080,14.213141,127.199997,10.000000,44.700001,16.750000
2015-08-27T11:24:23Z,51.648187,14.213312,127.199997,10.000000,44.200001,16.250000
2015-08-27T11:24:24Z,51.648284,14.213472,126.500000,10.000000,45.200001,16.500000
2015-08-27T11:24:25Z,51.648382,14.213635,127.099998,10.000000,44.000000,16.250000
2015-08-27T11:24:26Z,51.648484,14.213791,127.000000,10.000000,44.500000,16.250000
2015-08-27T11:24:27Z,51.648590,14.213953,126.699997,10.000000,43.200001,16.250000
2015-08-27T11:24:28Z,51.648702,14.214117,126.400002,10.000000,42.700001,16.500000
2015-08-27T11:24:29Z,51.648817,14.214281,126.500000,10.000000,42.099998,17.000000
2015-08-27T11:24:30Z,51.648937,14.214453,126.000000,10.000000,42.299999,17.500000
2015-08-27T11:24:31Z,51.649051,14.214629,126.099998,10.000000,42.700001,18.000000
2015-08-27T11:24:32Z,51.649170,14.214798,126.400002,10.000000,41.400002,17.750000
2015-08-27T11:24:33Z,51.649294,14.214970,126.900002,9.000000,41.500000,18.000000
2015-08-27T11:24:34Z,51.649407,14.215133,127.300003,9.000000,42.799999,17.750000
2015-08-27T11:24:35Z,51.649533,14.215303,127.900002,10.000000,40.299999,18.500000
2015-08-27T11:24:36Z,51.649660,14.215481,127.500000,10.000000,40.099998,18.500000
2015-08-27T11:24:37Z,51.649778,14.215650,127.099998,9.000000,40.400002,18.250000
2015-08-27T11:24:38Z,51.649905,14.215808,126.900002,9.000000,40.400002,18.000000
2015-08-27T11:24:39Z,51.650026,14.215976,126.699997,9.000000,40.200001,17.750000
2015-08-27T11:24:40Z,51.650153,14.216135,127.199997,10.000000,38.700001,18.000000
2015-08-27T11:24:41Z,51.650273,14.216308,127.000000,10.000000,40.700001,18.000000
2015-08-27T11:24:42Z,51.650402,14.216464,126.900002,9.000000,38.900002,18.000000
2015-08-27T11:24:43Z,51.650527,14.216627,127.000000,10.000000,39.099998,18.000000
2015-08-27T11:24:44Z,51.650651,14.216773,127.500000,9.000000,38.799999,17.500000
2015-08-27T11:24:45Z,51.650779,14.216932,128.699997,10.000000,38.599998,17.500000
2015-08-27T11:24:46Z,51.650903,14.217082,128.500000,9.000000,38.700001,17.500000
2015-08-27T11:24:47Z,51.651024,14.217237,128.899994,9.000000,38.900002,17.500000
2015-08-27T11:24:48Z,51.651149,14.217394,129.000000,4.000000,39.099998,17.250000
2015-08-27T11:24:49Z,51.651271,14.217557,128.500000,3.000000,39.000000,17.250000
2015-08-27T11:24:50Z,51.651398,14.217716,129.399994,4.000000,38.700001,17.250000
2015-08-27T11:24:51Z,51.651518,14.217868,129.300003,3.000000,38.299999,17.250000
2015-08-27T11:24:52Z,51.651638,14.218022,128.399994,3.000000,38.799999,17.250000
2015-08-27T11:24:53Z,51.651754,14.218173,128.800003,4.000000,38.500000,17.000000
